Time [s],CH1[V],
6.0599938e-04,-0.00000e+00,
6.0799939e-04,-0.00000e+00,
6.0999941e-04,-0.00000e+00,
6.1199942e-04,-0.00000e+00,
6.1399944e-04,-0.00000e+00,
6.1599945e-04,-0.00000e+00,
6.1799947e-04,-0.00000e+00,
6.1999948e-04,-0.00000e+00,
6.2199950e-04,-0.00000e+00,
6.2399951e-04,-0.00000e+00,
6.2599953e-04,-0.00000e+00,
6.2799954e-04,-0.00000e+00,
6.2999956e-04,-7.99999e-02,
6.3199957e-04,-0.00000e+00,
6.3399959e-04,-7.99999e-02,
6.3599960e-04,-0.00000e+00,
6.3799962e-04,-7.99999e-02,
6.3999963e-04,-0.00000e+00,
6.4199965e-04,-7.99999e-02,
6.4399967e-04,-0.00000e+00,
6.4599968e-04,-7.99999e-02,
6.4799970e-04,-0.00000e+00,
6.4999971e-04,-0.00000e+00,
6.5199973e-04,-0.00000e+00,
6.5399974e-04,-7.99999e-02,
6.5599976e-04,-0.00000e+00,
6.5799977e-04,-0.00000e+00,
6.5999979e-04,-0.00000e+00,
6.6199980e-04,-7.99999e-02,
6.6399982e-04,-0.00000e+00,
6.6599983e-04,-0.00000e+00,
6.6799985e-04,-0.00000e+00,
6.6999986e-04,-7.99999e-02,
6.7199988e-04,-0.00000e+00,
6.7399989e-04,-0.00000e+00,
6.7599991e-04,-0.00000e+00,
6.7799992e-04,-0.00000e+00,
6.7999994e-04,-0.00000e+00,
6.8199995e-04,-7.99999e-02,
6.8399997e-04,-0.00000e+00,
6.8599998e-04,-7.99999e-02,
6.8800000e-04,-0.00000e+00,
6.9000002e-04,-0.00000e+00,
6.9200003e-04,-0.00000e+00,
6.9400005e-04,-7.99999e-02,
6.9600006e-04,-0.00000e+00,
6.9800008e-04,-0.00000e+00,
7.0000009e-04,-0.00000e+00,
7.0200011e-04,-0.00000e+00,
7.0400012e-04,-0.00000e+00,
7.0600014e-04,-7.99999e-02,
7.0800015e-04,-7.99999e-02,
7.1000017e-04,-0.00000e+00,
7.1200018e-04,-0.00000e+00,
7.1400020e-04,-0.00000e+00,
7.1600021e-04,-0.00000e+00,
7.1800023e-04,-7.99999e-02,
7.2000024e-04,-7.99999e-02,
7.2200026e-04,-0.00000e+00,
7.2400027e-04,-0.00000e+00,
